letdocID	Author	AuthorID	Recipient	RecipientID	letdoc_Date_year	src_city	src_country	src_lng	src_lat	dest_city	dest_country	dst_lng	dst_lat
addijoOU0010001_1key001cor	Addison, Joseph	addisjosep000041	Tonson, Jacob	tonsojacob003722	1695	Oxford	England	-1.259489	51.756205	London	England	-0.127144	51.506325
addijoOU0010002_1key001cor	Addison, Joseph	addisjosep000041	Tonson, Jacob	tonsojacob003722	1695	Oxford	England	-1.259489	51.756205	London	England	-0.127144	51.506325
addijoOU0010003b_1key001cor	Addison, Joseph	addisjosep000041	Congreve, William	congrwilli003622	1699	Paris	France	2.34121	48.856925	London	England	-0.127144	51.506325
addijoOU0010006_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 1st earl of Halifax, Charles	montacharl002584	1699	Paris	France	2.34121	48.856925	London	England	-0.127144	51.506325
addijoOU0010014_1key001cor	Addison, Joseph	addisjosep000041	Newton, Henry	newtohenry003691	1699	Blois	France	1.331433	47.58685	London	England	-0.127144	51.506325
addijoOU0010016_1key001cor	Addison, Joseph	addisjosep000041	Hough, bishop of Worcester, John	houghjohn0003661	1700	Blois	France	1.331433	47.58685	Lichfield	England	-1.81966	52.68403
addijoOU0010018_1key001cor	Addison, Joseph	addisjosep000041	Stanyan, Abraham	stanyabrah003711	1700	Blois	France	1.331433	47.58685	London	England	-0.127144	51.506325
addijoOU0010019_1key001cor	Addison, Joseph	addisjosep000041	Newton, Henry	newtohenry003691	1700	Blois	France	1.331433	47.58685	London	England	-0.127144	51.506325
addijoOU0010021_1key001cor	Addison, Joseph	addisjosep000041	Stanyan, Abraham	stanyabrah003711	1700	Blois	France	1.331433	47.58685	Paris	France	2.34121	48.856925
addijoOU0010023_1key001cor	Addison, Joseph	addisjosep000041	Hough, bishop of Worcester, John	houghjohn0003661	1700	Paris	France	2.34121	48.856925	Lichfield	England	-1.81966	52.68403
addijoOU0010025_1key001cor	Addison, Joseph	addisjosep000041	Hough, bishop of Worcester, John	houghjohn0003661	1700	Marseille	France	5.37249	43.293685	Lichfield	England	-1.81966	52.68403
addijoOU0010027_1key001cor	Addison, Joseph	addisjosep000041	Hough, bishop of Worcester, John	houghjohn0003661	1701	Rome	Italy	12.49576	41.90311	Lichfield	England	-1.81966	52.68403
addijoOU0010029_1key001cor	Addison, Joseph	addisjosep000041	Wortley Montagu, Edward 	wortledwar005398	1701	Rome	Italy	12.49576	41.90311	Geneva	Switzerland	6.142701	46.208358
addijoOU0010030_1key001cor	Addison, Joseph	addisjosep000041	Wortley Montagu, Edward 	wortledwar005398	1701	Geneva	Switzerland	6.142701	46.208358	Wortley	England	-1.59865	53.792
addijoOU0010031_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1702	Geneva	Switzerland	6.142701	46.208358	London	England	-0.127144	51.506325
addijoOU0010032_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 1st earl of Halifax, Charles	montacharl002584	1702	Geneva	Switzerland	6.142701	46.208358	London	England	-0.127144	51.506325
addijoOU0010035_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1702	Vienna	Austria	16.368805	48.202548	Vienna	Austria	16.368805	48.202548
addijoOU0010036_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1703	Dresden	Germany	13.740815	51.053645	Vienna	Austria	16.368805	48.202548
addijoOU0010037_1key001cor	Addison, Joseph	addisjosep000041	Finch, 4th earl of Winchelsea, Charles	finchcharl003646	1703	Hamburg	Germany	9.992445	53.553345	Hanover	Germany	9.738157	52.372278
addijoOU0010039a_1key001cor	Addison, Joseph	addisjosep000041	Wyche, John	wychejohn0003730	1703	Leiden	Netherlands	4.49463	52.15457	Hamburg	Germany	9.992445	53.553345
addijoOU0010039b_1key001cor	Addison, Joseph	addisjosep000041	Tonson, Jacob	tonsojacob003722	1703	Leiden	Netherlands	4.49463	52.15457	Amsterdam	Netherlands	4.893195	52.37312
addijoOU0010040_1key001cor	Addison, Joseph	addisjosep000041	Bathurst, 1st Earl Bathurst, Allen	bathuallen000216	1703	Leiden	Netherlands	4.49463	52.15457	The Hague	Netherlands	4.317415	52.083992
addijoOU0010043a_1key001cor	Addison, Joseph	addisjosep000041	Seymour, 6th duke of Somerset, Charles	seymocharl003703	1703	Amsterdam	Netherlands	4.893195	52.37312	Amsterdam	Netherlands	4.893195	52.37312
addijoOU0010043b_1key001cor	Addison, Joseph	addisjosep000041	Leibniz, Gottfried Wilhelm	leibngottf002310	1703	The Hague	Netherlands	4.317415	52.083992	Hanover	Germany	9.738157	52.372278
addijoOU0010045_1key001cor	Addison, Joseph	addisjosep000041	Hough, bishop of Worcester, John	houghjohn0003661	1703	Amsterdam	Netherlands	4.893195	52.37312	Lichfield	England	-1.81966	52.68403
addijoOU0010046_1key001cor	Addison, Joseph	addisjosep000041	Wood, Mr 	wood000000024678	1703	The Hague	Netherlands	4.317415	52.083992	Geneva	Switzerland	6.142701	46.208358
addijoOU0010047_1key001cor	Addison, Joseph	addisjosep000041	Wyche, John	wychejohn0003730	1703	Amsterdam	Netherlands	4.893195	52.37312	Hamburg	Germany	9.992445	53.553345
addijoOU0010048_1key001cor	Addison, Joseph	addisjosep000041	Philips, Ambrose	philiambro003695	1704	London	England	-0.127144	51.506325	Utrecht	Netherlands	5.115405	52.088932
addijoOU0010051a_1key001cor	Addison, Joseph	addisjosep000041	Colbatch, John	colbajohn0003617	1705	London	England	-0.127144	51.506325	Cambridge	England	0.111565	52.20987
addijoOU0010052a_1key001cor	Addison, Joseph	addisjosep000041	Watkins, Henry	watkihenry003726	1705	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010052b_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1705	London	England	-0.127144	51.506325	Vienna	Austria	16.368805	48.202548
addijoOU0010054b_1key001cor	Addison, Joseph	addisjosep000041	Turrettini, Jean Alphonse	turrejeana003724	1706	London	England	-0.127144	51.506325	Geneva	Switzerland	6.142701	46.208358
addijoOU0010056_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1706	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010057_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1706	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010061_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1706	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010062_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1706	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010063_1key001cor	Addison, Joseph	addisjosep000041	Howe, Emanuel Scrope	howeemanu0003662	1706	London	England	-0.127144	51.506325	Hanover	Germany	9.738157	52.372278
addijoOU0010067b_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1707	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010069a_1key001cor	Walpole, 1st Baron Walpole of Wolterton, Horatio	walpohorat023875	Newton, Henry	newtohenry003691	1707	London	England	-0.127144	51.506325	Valencia	Spain	-0.376913	39.468791
addijoOU0010069b_1key001cor	Addison, Joseph	addisjosep000041	Newton, Henry	newtohenry003691	1707	London	England	-0.127144	51.506325	Florence	Italy	11.254995	43.78237
addijoOU0010071b_1key001cor	Addison, Joseph	addisjosep000041	Stepney, George	stepngeorg024078	1707	London	England	-0.127144	51.506325	The Hague	Netherlands	4.317415	52.083992
addijoOU0010072a_1key001cor	Addison, Joseph	addisjosep000041	Chetwynd, 3rd Viscount Chetwynd, John	chetwjohn0003614	1707	London	England	-0.127144	51.506325	Turin	Italy	7.705403	45.069512
addijoOU0010073a_1key001cor	Addison, Joseph	addisjosep000041	Le Clerc, Jean	leclejean0002239	1707	London	England	-0.127144	51.506325	Amsterdam	Netherlands	4.893195	52.37312
addijoOU0010074b_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010074c_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010075_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010077a_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010078_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010079b_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010081_1key001cor	Addison, Joseph	addisjosep000041	Cole, Christian	colechris0003618	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010083_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1707	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010089b_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010089c_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010094_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010099a_1key001cor	Addison, Joseph	addisjosep000041	Burchett, Josiah	burchjosia003612	1708	London	England	-0.127144	51.506325	London	England	-0.127144	51.506325
addijoOU0010100_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010101_1key001cor	Addison, Joseph	addisjosep000041	Burchett, Josiah	burchjosia003612	1708	London	England	-0.127144	51.506325	London	England	-0.127144	51.506325
addijoOU0010102_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010105_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010106_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010107_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010109a_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010109b_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010111b_1key001cor	Addison, Joseph	addisjosep000041	Wortley Montagu, Edward 	wortledwar005398	1708	London	England	-0.127144	51.506325	Wortley	England	-1.59865	53.792
addijoOU0010112_1key001cor	Addison, Joseph	addisjosep000041	Wortley Montagu, Edward 	wortledwar005398	1708	London	England	-0.127144	51.506325	Wortley	England	-1.59865	53.792
addijoOU0010114_1key001cor	Addison, Joseph	addisjosep000041	Rich, 7th earl of Warwick, Edward Henry	richedwar0003701	1708	London	England	-0.127144	51.506325	London	England	-0.127144	51.506325
addijoOU0010117_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 4th earl of Manchester, Charles	montacharl024562	1708	London	England	-0.127144	51.506325	Venice	Italy	12.318457	45.438254
addijoOU0010121c_1key001cor	Addison, Joseph	addisjosep000041	Newton, Henry	newtohenry003691	1708	London	England	-0.127144	51.506325	Florence	Italy	11.254995	43.78237
addijoOU0010133a_1key001cor	Addison, Joseph	addisjosep000041	Burchett, Josiah	burchjosia003612	1709	Chester	England	-2.894369	53.18813	London	England	-0.127144	51.506325
addijoOU0010134b_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010134c_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 1st earl of Halifax, Charles	montacharl002584	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010136_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010138_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010139_1key001cor	Addison, Joseph	addisjosep000041	Rich, 7th earl of Warwick, Edward Henry	richedwar0003701	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010140_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010142a_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010143a_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010143b_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010144_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010145_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010146b_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010148_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010150_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010152_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010153_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010155_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010156a_1key001cor	Addison, Joseph	addisjosep000041	Swift, Jonathan	swiftjonat003267	1709	Dublin	Ireland	-6.249569	53.3437	Chester	England	-2.894369	53.18813
addijoOU0010156b_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010159_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010160_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010163_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010165a_1key001cor	Addison, Joseph	addisjosep000041	Swift, Jonathan	swiftjonat003267	1709	Dublin	Ireland	-6.249569	53.3437	Dublin	Ireland	-6.249569	53.3437
addijoOU0010165b_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010166a_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010166c_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010167_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010168b_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010170_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010171b_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010172_1key001cor	Addison, Joseph	addisjosep000041	Spencer, 3rd earl of Sunderland, Charles	spenccharl005328	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010174_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010175_1key001cor	Addison, Joseph	addisjosep000041	Burchett, Josiah	burchjosia003612	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010176_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010177_1key001cor	Addison, Joseph	addisjosep000041	Somers, 1st Baron Somers, John	somerjohn0003199	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010178_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010180_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010181_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010183a_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010184a_1key001cor	Addison, Joseph	addisjosep000041	Godolphin, 1st earl of Godolphin, Sidney	godolsidne003651	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010184b_1key001cor	Addison, Joseph	addisjosep000041	Montagu, 1st earl of Halifax, Charles	montacharl002584	1709	Dublin	Ireland	-6.249569	53.3437	London	England	-0.127144	51.506325
addijoOU0010185_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	Chester	England	-2.894369	53.18813	Dublin	Ireland	-6.249569	53.3437
addijoOU0010186a_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010187_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010188a_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010188b_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010189_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010190a_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010190b_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
addijoOU0010191a_1key001cor	Addison, Joseph	addisjosep000041	Dawson, Joshua	dawsojoshu003632	1709	London	England	-0.127144	51.506325	Dublin	Ireland	-6.249569	53.3437
